Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-5.1,0.0,0.0
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.8,27.295,25.0
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.8,27.832,25.698
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.8,5.708,0.927
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.8,28.062,25.959
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.8,2.069,1.743
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.7,6.152,2.039
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.7,5.892,1.792
pre_6dsr_ompdc_Compound_143_uff_E=270.50_uff_E=270.43,-4.7,28.092,26.057
pre_6dsr_ompdc_Compound_144_uff_E=1304.67_uff_E=1304.65,-3.5,0.0,0.0
pre_6dsr_ompdc_Compound_144_uff_E=1304.67_uff_E=1304.65,-2.9,26.934,23.409
pre_6dsr_ompdc_Compound_145_uff_E=397.75_uff_E=397.56,-4.5,0.0,0.0
pre_6dsr_ompdc_Compound_145_uff_E=397.75_uff_E=397.56,-3.9,1.709,1.191
pre_6dsr_ompdc_Compound_145_uff_E=397.75_uff_E=397.56,-2.8,28.34,24.032
pre_6dsr_ompdc_Compound_146_uff_E=664.57_uff_E=553.04,-5.7,0.0,0.0
pre_6dsr_ompdc_Compound_146_uff_E=664.57_uff_E=553.04,-4.6,27.462,24.848
pre_6dsr_ompdc_Compound_147_uff_E=756.33_uff_E=753.34,-2.9,0.0,0.0
pre_6dsr_ompdc_Compound_147_uff_E=756.33_uff_E=753.34,-1.6,27.663,24.745
pre_6dsr_ompdc_Compound_147_uff_E=756.33_uff_E=753.34,-1.0,8.172,3.506
pre_6dsr_ompdc_Compound_147_uff_E=756.33_uff_E=753.34,-0.3,2.313,1.654
pre_6dsr_ompdc_Compound_148_uff_E=274.52_uff_E=274.42,-0.4,0.0,0.0
pre_6dsr_ompdc_Compound_148_uff_E=274.52_uff_E=274.42,1.3,8.317,2.883
pre_6dsr_ompdc_Compound_148_uff_E=274.52_uff_E=274.42,2.2,27.746,24.279
pre_6dsr_ompdc_Compound_149_uff_E=656.69_uff_E=656.60,0.0,0.0,0.0
pre_6dsr_ompdc_Compound_14_uff_E=458.99_uff_E=458.89,-0.4,0.0,0.0
pre_6dsr_ompdc_Compound_14_uff_E=458.99_uff_E=458.89,0.5,27.606,24.99
pre_6dsr_ompdc_Compound_14_uff_E=458.99_uff_E=458.89,1.5,6.38,3.419
pre_6dsr_ompdc_Compound_14_uff_E=458.99_uff_E=458.89,1.9,26.792,24.526
pre_6dsr_ompdc_Compound_14_uff_E=458.99_uff_E=458.89,2.5,5.928,2.545
pre_6dsr_ompdc_Compound_150_uff_E=145.31_uff_E=145.11,-4.1,0.0,0.0
pre_6dsr_ompdc_Compound_150_uff_E=145.31_uff_E=145.11,-3.6,26.706,24.618
pre_6dsr_ompdc_Compound_150_uff_E=145.31_uff_E=145.11,-2.6,3.498,1.912
pre_6dsr_ompdc_Compound_150_uff_E=145.31_uff_E=145.11,-1.2,26.198,24.459
pre_6dsr_ompdc_Compound_151_uff_E=1477.81_uff_E=1468.23,42.9,0.0,0.0
pre_6dsr_ompdc_Compound_152_uff_E=1972.74_uff_E=200.10,-5.0,0.0,0.0
pre_6dsr_ompdc_Compound_153_uff_E=472.24_uff_E=472.04,-3.9,0.0,0.0
pre_6dsr_ompdc_Compound_153_uff_E=472.24_uff_E=472.04,-1.7,27.563,23.914
pre_6dsr_ompdc_Compound_154_uff_E=203.72_uff_E=202.56,4.4,0.0,0.0
pre_6dsr_ompdc_Compound_154_uff_E=203.72_uff_E=202.56,5.0,2.877,1.817
pre_6dsr_ompdc_Compound_154_uff_E=203.72_uff_E=202.56,6.3,27.934,23.765
pre_6dsr_ompdc_Compound_154_uff_E=203.72_uff_E=202.56,7.0,8.654,1.023
pre_6dsr_ompdc_Compound_154_uff_E=203.72_uff_E=202.56,7.1,8.968,1.971
pre_6dsr_ompdc_Compound_154_uff_E=203.72_uff_E=202.56,7.3,8.691,1.694
pre_6dsr_ompdc_Compound_155_uff_E=819.29_uff_E=811.51,11.4,0.0,0.0
pre_6dsr_ompdc_Compound_155_uff_E=819.29_uff_E=811.51,12.0,2.665,2.325
pre_6dsr_ompdc_Compound_155_uff_E=819.29_uff_E=811.51,13.0,2.03,1.533
pre_6dsr_ompdc_Compound_156_uff_E=570.22_uff_E=562.82,-3.7,0.0,0.0
pre_6dsr_ompdc_Compound_156_uff_E=570.22_uff_E=562.82,-3.3,8.995,4.502
pre_6dsr_ompdc_Compound_156_uff_E=570.22_uff_E=562.82,-3.2,28.853,25.975
pre_6dsr_ompdc_Compound_156_uff_E=570.22_uff_E=562.82,-3.1,29.098,26.27
pre_6dsr_ompdc_Compound_156_uff_E=570.22_uff_E=562.82,-2.2,8.708,4.68
pre_6dsr_ompdc_Compound_157_uff_E=269.65_uff_E=269.43,-5.9,0.0,0.0
pre_6dsr_ompdc_Compound_158_uff_E=1893.21_uff_E=672.02,-0.2,0.0,0.0
pre_6dsr_ompdc_Compound_159_uff_E=389.11_uff_E=388.79,1.7,0.0,0.0
pre_6dsr_ompdc_Compound_159_uff_E=389.11_uff_E=388.79,3.3,9.765,3.453
pre_6dsr_ompdc_Compound_159_uff_E=389.11_uff_E=388.79,4.2,29.014,25.08
pre_6dsr_ompdc_Compound_15_uff_E=445.02_uff_E=444.82,0.9,0.0,0.0
pre_6dsr_ompdc_Compound_15_uff_E=445.02_uff_E=444.82,1.6,8.717,2.908
pre_6dsr_ompdc_Compound_15_uff_E=445.02_uff_E=444.82,3.6,8.517,2.817
pre_6dsr_ompdc_Compound_15_uff_E=445.02_uff_E=444.82,3.6,2.969,2.073
pre_6dsr_ompdc_Compound_160_uff_E=424.11_uff_E=410.87,6.9,0.0,0.0
pre_6dsr_ompdc_Compound_160_uff_E=424.11_uff_E=410.87,7.4,6.913,3.123
pre_6dsr_ompdc_Compound_161_uff_E=607.94_uff_E=607.90,0.1,0.0,0.0
pre_6dsr_ompdc_Compound_162_uff_E=350.71_uff_E=323.30,15.5,0.0,0.0
pre_6dsr_ompdc_Compound_162_uff_E=350.71_uff_E=323.30,15.7,7.34,3.002
pre_6dsr_ompdc_Compound_163_uff_E=1287.50_uff_E=1287.31,0.5,0.0,0.0
pre_6dsr_ompdc_Compound_163_uff_E=1287.50_uff_E=1287.31,0.5,27.917,24.215
pre_6dsr_ompdc_Compound_163_uff_E=1287.50_uff_E=1287.31,0.6,27.241,23.937
pre_6dsr_ompdc_Compound_163_uff_E=1287.50_uff_E=1287.31,2.7,1.966,1.551
pre_6dsr_ompdc_Compound_163_uff_E=1287.50_uff_E=1287.31,2.8,1.744,1.1
pre_6dsr_ompdc_Compound_164_uff_E=392.80_uff_E=392.70,-1.0,0.0,0.0
pre_6dsr_ompdc_Compound_164_uff_E=392.80_uff_E=392.70,1.7,27.138,24.385
pre_6dsr_ompdc_Compound_165_uff_E=417.39_uff_E=417.18,-6.6,0.0,0.0
pre_6dsr_ompdc_Compound_165_uff_E=417.39_uff_E=417.18,-5.4,1.862,1.418
pre_6dsr_ompdc_Compound_165_uff_E=417.39_uff_E=417.18,-4.6,27.841,25.047
pre_6dsr_ompdc_Compound_166_uff_E=713.99_uff_E=713.89,-7.0,0.0,0.0
pre_6dsr_ompdc_Compound_166_uff_E=713.99_uff_E=713.89,-6.2,6.942,2.722
pre_6dsr_ompdc_Compound_166_uff_E=713.99_uff_E=713.89,-5.4,2.211,1.155
pre_6dsr_ompdc_Compound_166_uff_E=713.99_uff_E=713.89,-5.2,2.837,1.735
pre_6dsr_ompdc_Compound_167_uff_E=612.22_uff_E=521.33,7.0,0.0,0.0
pre_6dsr_ompdc_Compound_168_uff_E=1733.19_uff_E=1733.17,5.1,0.0,0.0
pre_6dsr_ompdc_Compound_168_uff_E=1733.19_uff_E=1733.17,5.5,8.449,2.363
pre_6dsr_ompdc_Compound_169_uff_E=808.55_uff_E=808.45,12.2,0.0,0.0
pre_6dsr_ompdc_Compound_16_uff_E=803.42_uff_E=803.22,1.2,0.0,0.0
pre_6dsr_ompdc_Compound_16_uff_E=803.42_uff_E=803.22,1.4,8.41,2.647
pre_6dsr_ompdc_Compound_16_uff_E=803.42_uff_E=803.22,1.6,2.091,1.755
pre_6dsr_ompdc_Compound_16_uff_E=803.42_uff_E=803.22,2.1,3.703,2.446
pre_6dsr_ompdc_Compound_16_uff_E=803.42_uff_E=803.22,2.4,27.928,23.968
pre_6dsr_ompdc_Compound_170_uff_E=177.58_uff_E=177.49,-5.2,0.0,0.0
pre_6dsr_ompdc_Compound_170_uff_E=177.58_uff_E=177.49,-2.3,7.481,2.397
pre_6dsr_ompdc_Compound_171_uff_E=539.72_uff_E=539.40,1.1,0.0,0.0
pre_6dsr_ompdc_Compound_171_uff_E=539.72_uff_E=539.40,1.9,27.062,24.393
pre_6dsr_ompdc_Compound_171_uff_E=539.72_uff_E=539.40,2.3,2.336,1.457
pre_6dsr_ompdc_Compound_171_uff_E=539.72_uff_E=539.40,3.9,2.518,1.526
pre_6dsr_ompdc_Compound_172_uff_E=655.94_uff_E=655.85,2.5,0.0,0.0
pre_6dsr_ompdc_Compound_172_uff_E=655.94_uff_E=655.85,4.3,27.543,24.003
pre_6dsr_ompdc_Compound_173_uff_E=825.59_uff_E=761.76,2.6,0.0,0.0
pre_6dsr_ompdc_Compound_173_uff_E=825.59_uff_E=761.76,3.6,3.83,1.594
pre_6dsr_ompdc_Compound_174_uff_E=604.48_uff_E=604.16,11.7,0.0,0.0
pre_6dsr_ompdc_Compound_175_uff_E=268.02_uff_E=267.62,-3.8,0.0,0.0
pre_6dsr_ompdc_Compound_176_uff_E=224.68_uff_E=224.58,-6.2,0.0,0.0
pre_6dsr_ompdc_Compound_177_uff_E=247.50_uff_E=244.26,-4.6,0.0,0.0
pre_6dsr_ompdc_Compound_177_uff_E=247.50_uff_E=244.26,-3.9,28.694,25.172
pre_6dsr_ompdc_Compound_177_uff_E=247.50_uff_E=244.26,-3.2,29.113,26.341
pre_6dsr_ompdc_Compound_177_uff_E=247.50_uff_E=244.26,-2.8,28.442,25.806
pre_6dsr_ompdc_Compound_177_uff_E=247.50_uff_E=244.26,-2.1,27.839,24.877
pre_6dsr_ompdc_Compound_178_uff_E=498.91_uff_E=454.62,2.4,0.0,0.0
pre_6dsr_ompdc_Compound_179_uff_E=2319.77_uff_E=2319.77,23.3,0.0,0.0
pre_6dsr_ompdc_Compound_179_uff_E=2319.77_uff_E=2319.77,25.6,8.591,2.888
pre_6dsr_ompdc_Compound_179_uff_E=2319.77_uff_E=2319.77,25.9,2.986,2.356
pre_6dsr_ompdc_Compound_17_uff_E=300.51_uff_E=284.40,9.7,0.0,0.0
pre_6dsr_ompdc_Compound_180_uff_E=391.67_uff_E=363.34,13.8,0.0,0.0
pre_6dsr_ompdc_Compound_180_uff_E=391.67_uff_E=363.34,15.7,4.774,3.334
pre_6dsr_ompdc_Compound_181_uff_E=350.13_uff_E=349.91,-0.0,0.0,0.0
pre_6dsr_ompdc_Compound_182_uff_E=694.16_uff_E=693.51,44.9,0.0,0.0
pre_6dsr_ompdc_Compound_182_uff_E=694.16_uff_E=693.51,45.0,22.832,19.448
pre_6dsr_ompdc_Compound_182_uff_E=694.16_uff_E=693.51,46.7,11.739,4.992
pre_6dsr_ompdc_Compound_182_uff_E=694.16_uff_E=693.51,47.0,22.834,18.77
pre_6dsr_ompdc_Compound_183_uff_E=227.10_uff_E=223.89,-5.1,0.0,0.0
